Notice No,Subject,Segment Name,Category Name,Department,Notice Url
20240730-49,Daily Bulletin,General,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-48,Suspension of Trading in Debentures of EDWARD FOOD RESEARCH AND ANALYSIS CENTRE LIMITED,Debt,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-47,Suspension of Trading in Debentures of ECAP EQUITIES LIMITED,Debt,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-46,Suspension of Trading in Debentures of ANNAPURNA FINANCE PRIVATE LIMITED,Debt,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-45,Suspension of Trading in Commercial Paper,Debt,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-44,Part Redemption of Debentures of EMBASSY PROPERTY DEVELOPMENTS PRIVATE LIMITED,Debt,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-43,Rights issue of Equity Shares of SWISS MILITARY CONSUMER GOODS LIMITED,Equity,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-42,Sub-division and Bonus issue of MARUTI INFRASTRUCTURE LTD. (Scrip Code: 531540),Equity,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-41,Subdivision of Equity Shares of THINKINK PICTUREZ LTD (Scrip Code: 539310).,Equity,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-40,Scheme of Arrangement (Demerger) of AJMERA REALTY & INFRA INDIA LTD (Scrip Code 513349) ,Equity,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
