author,description,image_urls
"Rutika Dethe
Rutika Dethe",I’m happy to share that I’ve obtained a new certification: Technical Workshop on ESG Reporting (Based on SEBI's BRSR guidelines) from Bureau Veritas Group!,https://media.licdn.com/dms/image/D4D22AQG5N213awnhmw/feedshare-shrink_800/0/1722366076625?e=1725494400&v=beta&t=YhJBaKAPw7WuFidthlgxO1WNlgtDlGLQegZL9U0TkBM
"Environment Health & Safety Services
Environment Health & Safety Services","For better reach.

hashtag
#ehs 
hashtag
#sustainability 
hashtag
#brsr 
hashtag
#gri 
hashtag
#cdp 
hashtag
#ghg",https://media.licdn.com/dms/image/D4D22AQGV0UFLJEpnVw/feedshare-shrink_800/0/1722310971843?e=1725494400&v=beta&t=hTi2eDLRSXAJx_ZPUkHebveX7bFxFfojDz6E9yrZaMQ
"TRAINING SALES
TRAINING SALES","hashtag
#SGSAcademyIndia 
hashtag
#LeadAuditorCourses 
hashtag
#OnlineLearning 
hashtag
#ProfessionalDevelopment
 For a detailed brochure, session timings and fees, email us at

Business Assurance Division
SGS India Pvt. Ltd.
Mobile: +91 9029740776
What’s App Link: Https://
E-Mail: -



,
training

technology
(IoT)
(AI) and
(ML)
-to-table
(GMOs)
-range
-free
-contamination


@Nestle @Pepsico, @Vinut @Coca-Cola @Danone @Walmat @Mars @Jbs

.tulamandi @sreedath

…see more",
"Shashwat Khoont
Shashwat Khoont","Protect our shores
hashtag
#dexterousdynamics 
hashtag
#esg 
hashtag
#brsr 
hashtag
#sustainability 
hashtag
#futuretechnology 
hashtag
#iot 
hashtag
#ai 
hashtag
#ml 
hashtag
#embeddedsystems 
hashtag
#advisory 
hashtag
#government 
hashtag
#regulatory 
hashtag
…see more",
"Smita Kudtarkar
Smita Kudtarkar","Leveling up with my 
hashtag
#BRSR certification! 📈

hashtag
#ESG 
hashtag
#Sustainability 
hashtag
#IndependentDirector",https://media.licdn.com/dms/image/D4D22AQHki6vak4MBwQ/feedshare-shrink_800/0/1722346385743?e=1725494400&v=beta&t=vqGldOixW_Kv5lopPOXQYMVnxcub7BeoaqWyV79rHPk
"Nihal Chopada
Nihal Chopada","🌍 I recently had the opportunity to attend an enlightening workshop on sustainability conducted by KPMG India at Welingkar Institute of Management Mumbai, led by the insightful Mr. Jagadish Gurushankar and Mr., with faculty coordinator Dr.. This workshop provided a deep dive into the intricacies of
,
, and
factors, highlighting their crucial role in shaping responsible and ethical business practices.

The workshop covered a broad range of topics, including:
📊
: We explored complex scenarios to calculate ESG scores, gaining hands-on experience with the methodologies used by rating agencies. This included analyzing factors like
, diversity policies, and board diversity.

🌱 Global Reporting Initiatives & Carbon Credit Mechanisms: We examined global standards and initiatives that guide corporate
, along with the mechanisms behind carbon credits. This was crucial in understanding how businesses can reduce their carbon footprint and contribute to a greener planet.

🛡️ Governance Frameworks: The session emphasized the importance of frameworks like the Business Responsibility and Sustainability Report (
) and the National Guidelines on Responsible Business Conduct (
). These frameworks are vital for ensuring transparency, accountability, and ethical leadership in organizations.

📈 Data & ESG Analytics: A practical segment focused on ESG data types, cleaning processes, and analytics. We also learned how to design and use
in Excel for tracking and visualizing ESG performance, providing us with the tools to apply theoretical knowledge in real-world business contexts.

It was an incredibly valuable experience, equipping us with the knowledge and skills to drive positive change in our future careers🌟








…see more",https://media.licdn.com/dms/image/D4D22AQHI4XMo-z0D-A/feedshare-shrink_800/0/1722344250814?e=1725494400&v=beta&t=tJM29oxRpakeUS5jfMCYSLWgsbO-DcpgVF4x5Cw3zoE; https://media.licdn.com/dms/image/D4D22AQGFczUbeE3p3w/feedshare-shrink_800/0/1722344247944?e=1725494400&v=beta&t=oaZb_Tm63TUmiPx45J5SIPg-2WJ0nuCJRChmXfLnJR4; https://media.licdn.com/dms/image/D4D22AQG9_bkR9xpz6g/feedshare-shrink_800/0/1722344253048?e=1725494400&v=beta&t=ls3wZ3gfS_btMfZTDGqB5vyihiJQV7Xy4AEFWKsJyvk
"Directors' Institute - World Council Of Directors
Directors' Institute - World Council Of Directors","🎉🌟 Congratulations Madhusudanarao Akondi🌟🎉

We take pride in conferring the title of BRSR Expert to you, Madhusudanarao Akondi  for successfully completing the Business Responsibility and Sustainability Reporting certification. Your commitment to fostering sustainable business practices and your relentless pursuit of excellence are truly commendable!

Name: Madhusudanarao Akondi
Current Designation : Tools Leader
Current Organization :kyndryl
DI Databank Number: ESG-2024-DI1522603
Certification Clearance Date: 26-03-2024


Today, we take a moment to acknowledge and appreciate the transformative impact of Business Responsibility and Sustainability Reporting (BRSR) on corporate governance and sustainable development. Let's recognize the dedication of those who drive these initiatives forward, promoting transparency, accountability, and long-term value creation. 🙏❤️

Your CPD-accredited certification, recognized in over 50 countries, opens a world of opportunities for you. This achievement marks a significant milestone in your career, paving the way for further growth, connections, and global prospects. Your hard work and perseverance have undoubtedly paid off.

The Directors' Institute - World Council of Directors is proud to announce your accomplishment and looks forward to witnessing your continued success in promoting sustainable development and responsible business practices. Here's to seizing new opportunities and reaching greater heights! 🌍✨

…see more",https://media.licdn.com/dms/image/D4D22AQEkdvsS3YJdew/feedshare-shrink_800/0/1722342250747?e=1725494400&v=beta&t=M4Jk7uEWnS6Seq9ba71mkkg3udChgOZpf86FFwqN7aA
"Nitin Mangale
Nitin Mangale","Discover how ISO standards align with BRSR KPIs and gain an overview of different reporting approaches, their challenges, and lessons learned.

This is a great opportunity to enhance your understanding of BRSR and its implications for your business.

Don’t miss this opportunity to gain valuable insights into BRSR.
👉Register now:
…see more",
"TRAINING SALES
TRAINING SALES","hashtag
#SGSAcademyIndia 
hashtag
#LeadAuditorCourses 
hashtag
#OnlineLearning 
hashtag
#ProfessionalDevelopment
For a detailed brochure, session timings and fees, email us at
hashtag

Business Assurance Division
SGS India Pvt. Ltd.
Mobile: +91 9029740776
What’s App Link: Https://
E-Mail: -



,
training

technology
(IoT)
(AI) and
(ML)
-to-table
(GMOs)
-range
-free
-contamination


@Nestle @Pepsico, @Vinut @Coca-Cola @Danone @Walmat @Mars @Jbs

.tulamandi @sreedath

…see more",
"TRAINING SALES
TRAINING SALES","hashtag
#SGSAcademyIndia 
hashtag
#LeadAuditorCourses 
hashtag
#OnlineLearning 
hashtag
#ProfessionalDevelopment
For a detailed brochure, session timings and fees, email us at
hashtag

Business Assurance Division
SGS India Pvt. Ltd.
Mobile: +91 9029740776
What’s App Link: Https://
E-Mail: -

,
training

technology
(IoT)
(AI) and
(ML)
-to-table
(GMOs)
-range
-free
-contamination


@Nestle @Pepsico, @Vinut @Coca-Cola @Danone @Walmat @Mars @Jbs

.tulamandi @sreedath

…see more",
