Title,Date,Link
Request for comments on draft revised Guidelines on Electric Vehicle Charging Infrastructure for EVs prepared by Ministry of Power – reg,01/07/2024,https://powermin.gov.in/sites/default/files/Request_for_comments_on_draft_revised_Guidelines_on_Electric_Vehicle_Charging_Infrastructure_for_EV.pdf
Advisory to all GENCOs including Independent Power Producers (IPPs) for timely Import of Coal for blending purposes and maximizing production in captive coal mines - reg.,27/06/2024,https://powermin.gov.in/sites/default/files/Advisory_dated_27_06_2024_merged.pdf
Public Procurement (Preference to Make in India) to provide for Purchase Preference (linked with local content) in respect of Power Sector- Revision,20/06/2024,https://powermin.gov.in/sites/default/files/Public_Procurement_Preference_to_Make_in_India_to_provide_for_Purchase_Preference_linked_with_local_content_in_respect_of_Power_Sector_Revision.pdf
Guidelines for payment of compensation in regard to Right of way (RoW) for transmission lines,14/06/2024,https://powermin.gov.in/sites/default/files/Guidelines_for_payment_of_compensation_in_regard_to_Right_of_way_RoW_for_transmission_lines.pdf
MoU 2023-24 signed between MoP and NHPC Limited,31/05/2024,https://powermin.gov.in/sites/default/files/Signed_copy_of_MoU_2023_24_0.pdf
"Vacancy Circular dated 22.05.2024 for the post of Member, JERC for UT of J&K and UT of Ladakh",22/05/2024,https://powermin.gov.in/sites/default/files/Vacancy_Circular_for_the_post_of_Member_JERC_for_UT_of_J%26K_and_UT_of_Ladakh.pdf
Clarification to Revised Policy for Biomass Utilization for Power Generation through Co-firing in Coal based Power Plants issued on O8.1O.2O21 - reg,14/05/2024,https://powermin.gov.in/sites/default/files/Clarification_to_Revised_Policy_for_Biomass_Utilization_for_Power.pdf
"Selection for the post of Director (Finance), SJVN Limited, a schedule 'A' CPSE",02/05/2024,https://powermin.gov.in/sites/default/files/Selection_for_the_post_of_Directo_Finance_SJVN_Limited.pdf
Public Procurement (Preference to Make in India) to provide for Purchase Preference (linked with local content) in respect of Power Sector- Revision,24/04/2024,https://powermin.gov.in/sites/default/files/Public_Procurement_Preference_to_Make_in_India_to_provide_for_Purchase_Preference_linked_with_local_content_in_respect_of_Power_Revision.pdf
Methodology for allocation of coal as per provisions of Para B(viii)(a) of SHAKTI Policy of Ministry of Coa,15/03/2024,https://powermin.gov.in/sites/default/files/Methodology_for_allocation_of_coal_as_per_provisions_of_Para_B_viii_a_of_SHAKTI_Policy_of_Ministry_of_Coal.pdf
"Electricity (Third Amendment) Rules, 2024",14/03/2024,https://powermin.gov.in/sites/default/files/Electricity_Third_Amendment_Rules_2024.pdf
"Vacancy Circular dated 13.03.2024 for the post of Member (Finance), Central Electricity Regulatory Commission",13/03/2024,https://powermin.gov.in/sites/default/files/vacancy_circular_dtd_13032024_for_Member_Fin_CERC.pdf
Advisory to all GENCOs including Independent Power Producers (IPPs) for timely Import of Coal for blending purposes and maximizing production in captive coal mines,04/03/2024,https://powermin.gov.in/sites/default/files/MoP_advisory_dated_04_03_2024_for_timely_Import_of_Coal_for_blending_purposes_and_maximizing_production_in_captive_coal_mines.pdf
Report of the Committee Constituted by MoP to examine different modes of Contracting and restructure relevant provisions of contracts in Hydro Power Sector,29/02/2024,https://powermin.gov.in/sites/default/files/Report_of_the_Committee_Constituted_by_MoP_to_examine_different_modes_of_Contracting_and_restructure_relevant_provisions_of_contracts_in_Hydro_Power_Sector.pdf
"Electricity (Rights of Consumers) Amendment Rules, 2024",23/02/2024,https://powermin.gov.in/sites/default/files/Electricity_Rights_of_Consumers_Amendment_Rules_2024_0.pdf
"Alignment with Open Access Regulations, on aggregation basis-reg.",19/02/2024,https://powermin.gov.in/sites/default/files/Alignment_with_Open_Access_Regulations_GEOA_12022024.pdf
