DATE,DEPARTMENT,DOWNLOAD REFERENCE NO.,SUBJECT,LINK
"July 29, 2024",Listing,NSE/CML/63126,Listing of further issue of Securities.,https://nsearchives.nseindia.com/content/circulars/CML63126.pdf
"July 29, 2024",Surveillance & Investigation,NSE/SURV/63125,Reversal Trade Cancellation Mechanism (RTCM),https://nsearchives.nseindia.com/content/circulars/SURV63125.zip
"July 29, 2024",Listing,NSE/CML/63124,Listing of further issue of Kck Industries Limited,https://nsearchives.nseindia.com/content/circulars/CML63124.pdf
"July 29, 2024",Emerge,NSE/CML/63124,Listing of further issue of Kck Industries Limited,https://nsearchives.nseindia.com/content/circulars/CML63124.pdf
"July 29, 2024",Surveillance & Investigation,NSE/INVG/63123,Order in respect of S.P. Natural Eco-Green Projects (India) Limited,https://nsearchives.nseindia.com/content/circulars/INVG63123.pdf
"July 29, 2024",Surveillance & Investigation,NSE/INVG/63122,Confirmatory Order in the matter of V Marc India Limited,https://nsearchives.nseindia.com/content/circulars/INVG63122.pdf
"July 29, 2024",Listing,NSE/CML/63121,Listing of further issue of Reliance Industries Limited,https://nsearchives.nseindia.com/content/circulars/CML63121.pdf
"July 29, 2024",Listing,NSE/CML/63120,Listing of Equity Shares of Avantel Limited (New Listing),https://nsearchives.nseindia.com/content/circulars/CML63120.zip
"July 29, 2024",Listing,NSE/CML/63119,Trading of Rights Entitlements pursuant to Rights Issue of GACM Technologies Limited,https://nsearchives.nseindia.com/content/circulars/CML63119.pdf
"July 29, 2024",Debt Segment,NSE/CML/63118,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63118.pdf
"July 29, 2024",Listing,NSE/CML/63118,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63118.pdf
"July 29, 2024",Listing,NSE/CML/63117,Listing of privately placed securities on capital market segment,https://nsearchives.nseindia.com/content/circulars/CML63117.pdf
"July 29, 2024",Listing,NSE/CML/63116,Continuation of trading in Securities in Z Category,https://nsearchives.nseindia.com/content/circulars/CML63116.pdf
"July 29, 2024",Capital Market (Equities) Trade,NSE/CMTR/63115,SPLIT: Adjustment of Market Lot for Security CELLECOR in SME Platform,https://nsearchives.nseindia.com/content/circulars/CMTR63115.pdf
"July 29, 2024",Emerge,NSE/CMTR/63115,SPLIT: Adjustment of Market Lot for Security CELLECOR in SME Platform,https://nsearchives.nseindia.com/content/circulars/CMTR63115.pdf
"July 29, 2024",Surveillance & Investigation,NSE/SURV/63113,Applicability of Short-Term Additional Surveillance Measure (ST-ASM),https://nsearchives.nseindia.com/content/circulars/SURV63113.zip
"July 29, 2024",Surveillance & Investigation,NSE/SURV/63112,Applicability of Additional Surveillance Measure (ASM),https://nsearchives.nseindia.com/content/circulars/SURV63112.zip
