date,subject,link
"Jul 30, 2024",Certificate No. RC7910 of 2024_ Notice of Demand in respect of Kesarisuta Vinimay Pvt. Ltd. (PAN: AAECK2699A) in the matter of Illiquid Stock Options,https://www.sebi.gov.in/enforcement/recovery-proceedings/jul-2024/certificate-no-rc7910-of-2024-notice-of-demand-in-respect-of-kesarisuta-vinimay-pvt-ltd-pan-aaeck2699a-in-the-matter-of-illiquid-stock-options_85318.html
"Jul 30, 2024","Notice of Demand under Recovery Certificate number 7909 of 2024 dated July 30, 2024 issued to Amrapali Aadya Trading & Investment Pvt. Ltd. [Defaulter] PAN: AAECA3909P in the matter of Trading Members in Illiquid Stock Options.: under Recovery Certificate No. 7909 of 2024.",https://www.sebi.gov.in/enforcement/recovery-proceedings/jul-2024/notice-of-demand-under-recovery-certificate-number-7909-of-2024-dated-july-30-2024-issued-to-amrapali-aadya-trading-and-investment-pvt-ltd-defaulter-pan-aaeca3909p-in-the-matter-of-trading-members-_85298.html
"Jul 30, 2024","Exemption Order under Regulation 11 of SEBI (SAST) Regulations, 2011 in the matter of Nuvoco Vistas Corporation Limited",https://www.sebi.gov.in/enforcement/orders/jul-2024/exemption-order-under-regulation-11-of-sebi-sast-regulations-2011-in-the-matter-of-nuvoco-vistas-corporation-limited_85297.html
"Jul 30, 2024",Adjudication Order in the matter of 5 Paisa Capital Limited,https://www.sebi.gov.in/enforcement/orders/jul-2024/adjudication-order-in-the-matter-of-5-paisa-capital-limited_85291.html
"Jul 30, 2024",Adjudication Order in the matter of IIFL Securities Limited,https://www.sebi.gov.in/enforcement/orders/jul-2024/adjudication-order-in-the-matter-of-iifl-securities-limited_85293.html
"Jul 30, 2024",Order in the matter of front running by Alka Jain,https://www.sebi.gov.in/enforcement/orders/jul-2024/order-in-the-matter-of-front-running-by-alka-jain_85295.html
"Jul 30, 2024",Final Order in the matter of misstatements and irregularities in the financial statements of Omaxe Limited,https://www.sebi.gov.in/enforcement/orders/jul-2024/final-order-in-the-matter-of-misstatements-and-irregularities-in-the-financial-statements-of-omaxe-limited_85289.html
"Jul 30, 2024","Prohibitory Order No. 1013/2024 dated July 30, 2024 issued in the matter of Sanghi Plantations Limited under Recovery Certificate No. 3168 of 2020",https://www.sebi.gov.in/enforcement/recovery-proceedings/jul-2024/prohibitory-order-no-1013-2024-dated-july-30-2024-issued-in-the-matter-of-sanghi-plantations-limited-under-recovery-certificate-no-3168-of-2020_85288.html
"Jul 30, 2024","Unserved Show Cause Notice dated May 10, 2024 with respect to Noticee 1 (Geoshine Mines 2 Metals Ltd), Noticee 4 (Deena Nath Maurya), Noticee 6 (Arvind Tiwari), Noticee 9 (Ramendra Prasad Sharma), Noticee 10 (Raj Kumar Verma) and Noticee 12 (Bharat Subhash Prasad Maurya) in the matter of Geoshine Mines 2 Metals Limited",https://www.sebi.gov.in/enforcement/unserved-summons-notices/jul-2024/unserved-show-cause-notice-dated-may-10-2024-with-respect-to-noticee-1-geoshine-mines-2-metals-ltd-noticee-4-deena-nath-maurya-noticee-6-arvind-tiwari-noticee-9-ramendra-prasad-sharma-no-_85286.html
"Jul 30, 2024",RNFI SERVICES LIMITED,https://www.sebi.gov.in/filings/public-issues/jul-2024/rnfi-services-limited_85285.html
"Jul 30, 2024",PICTUREPOST STUDIOS LIMITED,https://www.sebi.gov.in/filings/public-issues/jul-2024/picturepost-studios-limited_85283.html
"Jul 30, 2024",STANDARD GLASS LINING TECHNOLOGY LIMITED,https://www.sebi.gov.in/filings/public-issues/jul-2024/standard-glass-lining-technology-limited_85281.html
"Jul 30, 2024",Consultation Paper on Measures to strengthen index derivatives framework for increased Investor protection and Market stability Click here to provide your comments,https://www.sebi.gov.in/reports-and-statistics/reports/jul-2024/consultation-paper-on-measures-to-strengthen-index-derivatives-framework-for-increased-investor-protection-and-market-stability_85279.html
"Jul 30, 2024",Consultation paper on proposal to improve ease of doing business with respect to the additional disclosure framework for large FPIs Click here to provide your comments,https://www.sebi.gov.in/reports-and-statistics/reports/jul-2024/consultation-paper-on-proposal-to-improve-ease-of-doing-business-with-respect-to-the-additional-disclosure-framework-for-large-fpis_85277.html
"Jul 30, 2024",DHARIWALCORP LIMITED,https://www.sebi.gov.in/filings/public-issues/jul-2024/dhariwalcorp-limited_85273.html
"Jul 30, 2024",Invesco India Technology Innovators Fund,https://www.sebi.gov.in/filings/mutual-funds/jul-2024/invesco-india-technology-innovators-fund_85259.html
"Jul 30, 2024",Kotak MNC Fund,https://www.sebi.gov.in/filings/mutual-funds/jul-2024/kotak-mnc-fund_85257.html
"Jul 29, 2024","Securities Contracts (Regulation) (Stock Exchanges and Clearing Corporations) (Third Amendment) Regulations, 2024",https://www.sebi.gov.in/legal/regulations/jul-2024/securities-contracts-regulation-stock-exchanges-and-clearing-corporations-third-amendment-regulations-2024_85328.html
"Jul 29, 2024",Remittance Order issued in RC. No. 7767 of 2024 drawn against Birla Pacific Medspa Ltd [PAN: AADCB5167F] in the matter of Birla Pacific Medspa Ltd.,https://www.sebi.gov.in/enforcement/recovery-proceedings/jul-2024/remittance-order-issued-in-rc-no-7767-of-2024-drawn-against-birla-pacific-medspa-ltd-pan-aadcb5167f-in-the-matter-of-birla-pacific-medspa-ltd-_85325.html
"Jul 29, 2024",Kothari Industrial Corporation Limited,https://www.sebi.gov.in/filings/takeovers/jul-2024/kothari-industrial-corporation-limited_85276.html
