Date,Source,Description,Link
30-07-2024,BSE,Daily Bulletin,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-49
30-07-2024,BSE,Suspension of Trading in Debentures of EDWARD FOOD RESEARCH AND ANALYSIS CENTRE LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-48
30-07-2024,BSE,Suspension of Trading in Debentures of ECAP EQUITIES LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-47
30-07-2024,BSE,Suspension of Trading in Debentures of ANNAPURNA FINANCE PRIVATE LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-46
30-07-2024,BSE,Suspension of Trading in Commercial Paper,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-45
30-07-2024,BSE,Part Redemption of Debentures of EMBASSY PROPERTY DEVELOPMENTS PRIVATE LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-44
30-07-2024,BSE,Rights issue of Equity Shares of SWISS MILITARY CONSUMER GOODS LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-43
30-07-2024,BSE,Sub-division and Bonus issue of MARUTI INFRASTRUCTURE LTD. (Scrip Code: 531540),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-42
30-07-2024,BSE,Subdivision of Equity Shares of THINKINK PICTUREZ LTD (Scrip Code: 539310).,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-41
30-07-2024,BSE,Scheme of Arrangement (Demerger) of AJMERA REALTY & INFRA INDIA LTD (Scrip Code 513349) ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-40
30-07-2024,BSE,Order in the matter of front running by Alka Jain (Big Client- Sapphire Intrex Limited).,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-39
30-07-2024,BSE,CHANGES IN PRICE BAND,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-38
30-07-2024,BSE,Clarification received from the company on news article,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-37
30-07-2024,BSE,Clarifications received from the companies,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-36
30-07-2024,BSE,Graded Surveillance Measure (GSM) - List of securities moving into their respective GSM Stages,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-35
30-07-2024,BSE,Applicability of Additional Surveillance Measure,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-34
30-07-2024,BSE,Applicability of Short Term Additional Surveillance Measure (ST-ASM),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-33
30-07-2024,BSE,Listing of further securities issued by the companies under ESOP/ESOS,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-32
30-07-2024,BSE,Listing of New Securities of Panchsheel Organic Ltd.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-31
30-07-2024,BSE,Listing of New Securities of Megastar Foods Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-30
30-07-2024,BSE,Availability of FRANKLIN INDIA MULTICAP FUND for ongoing transactions on BSE StAR MF Platform,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-29
30-07-2024,BSE,Listing of Securities Srestha Finvest Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-28
30-07-2024,BSE,Listing of 1528 Bonus Equity Shares kept in abeyance of Castrol India Ltd.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-27
30-07-2024,BSE,Order in the matter of misstatements/irregularities in the financial statements of Omaxe Limited.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-26
30-07-2024,BSE,Enhanced Surveillance Measure (ESM),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-25
30-07-2024,BSE,Listing of new Commercial Paper of Mirae Asset Financial Services (India) Private Limited ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-24
30-07-2024,BSE,Listing of new Commercial Paper of Adani Enterprises Ltd. ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-23
30-07-2024,BSE,Listing of new Commercial Paper of KEC International Ltd. ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-22
30-07-2024,BSE,Listing of new Commercial Paper of ARKA FINCAP LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-21
30-07-2024,BSE,Listing of new Commercial Paper of Axis Finance Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-20
30-07-2024,BSE,Listing of new Commercial Paper of IndoStar Capital Finance Limited ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-19
30-07-2024,BSE,Listing of new Commercial Paper of BOBCARD Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-18
30-07-2024,BSE,Listing of new Commercial Paper of Tata Housing Development Company Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-17
30-07-2024,BSE,Listing of new Commercial Paper of Indian Oil Corporation Ltd,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-16
30-07-2024,BSE,Listing of new debt securities of Setco Auto Systems Private Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-15
30-07-2024,BSE,Listing of Units of Aditya Birla Sun Life Nifty PSE ETF a scheme under Aditya Birla Sun Life Mutual Fund,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-14
